,Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,Bin_LoanAmount,Normalized_Income,Graduate,Not Graduate
0,LP001002,1,0,0,0,0,5849,0.0,120.0,360.0,1.0,2,1,Middle,38.23937760999779,1,0
1,LP001003,1,1,1,0,0,4583,1508.0,128.0,360.0,1.0,0,0,Middle,33.84892908202562,1,0
2,LP001005,1,1,0,0,1,3000,0.0,66.0,360.0,1.0,2,1,Middle,27.386127875258307,1,0
3,LP001006,1,1,0,1,0,2583,2358.0,120.0,360.0,1.0,2,1,Middle,25.411611519146124,0,1
4,LP001008,1,0,0,0,0,6000,0.0,141.0,360.0,1.0,2,1,Middle,38.72983346207417,1,0
5,LP001011,1,1,2,0,1,5417,4196.0,267.0,360.0,1.0,2,1,Higher,36.800135869314396,1,0
6,LP001013,1,1,0,1,0,2333,1516.0,95.0,360.0,1.0,2,1,Middle,24.150569351466643,0,1
7,LP001014,1,1,3,0,0,3036,2504.0,158.0,360.0,0.0,1,0,Higher,27.54995462791182,1,0
8,LP001018,1,1,2,0,0,4006,1526.0,168.0,360.0,1.0,2,1,Higher,31.64648479689332,1,0
9,LP001020,1,1,1,0,0,12841,10968.0,349.0,360.0,1.0,1,0,Extreme,56.65906811799855,1,0
10,LP001024,1,1,2,0,0,3200,700.0,70.0,360.0,1.0,2,1,Middle,28.284271247461902,1,0
11,LP001027,1,1,2,0,0,2500,1840.0,109.0,360.0,1.0,2,1,Middle,25.0,1,0
12,LP001028,1,1,2,0,0,3073,8106.0,200.0,360.0,1.0,2,1,Higher,27.7173231030704,1,0
13,LP001029,1,0,0,0,0,1853,2840.0,114.0,360.0,1.0,0,0,Middle,21.523243250030884,1,0
14,LP001030,1,1,2,0,0,1299,1086.0,17.0,120.0,1.0,2,1,Lower,18.0208212909401,1,0
15,LP001032,1,0,0,0,0,4950,0.0,125.0,360.0,1.0,2,1,Middle,35.17811819867572,1,0
16,LP001034,1,0,1,1,0,3596,0.0,100.0,240.0,1.0,2,1,Middle,29.9833287011299,0,1
17,LP001036,0,0,0,0,0,3510,0.0,76.0,360.0,0.0,2,0,Middle,29.62262648719725,1,0
18,LP001038,1,1,0,1,0,4887,0.0,133.0,360.0,1.0,0,0,Middle,34.95354059319313,0,1
19,LP001041,1,1,0,0,0,2600,3500.0,115.0,360.0,1.0,2,1,Middle,25.495097567963924,1,0
20,LP001043,1,1,0,1,0,7660,0.0,104.0,360.0,0.0,2,0,Middle,43.76071297408213,0,1
21,LP001046,1,1,1,0,0,5955,5625.0,315.0,360.0,1.0,2,1,Extreme,38.58432324144095,1,0
22,LP001047,1,1,0,1,0,2600,1911.0,116.0,360.0,0.0,1,0,Middle,25.495097567963924,0,1
23,LP001050,1,1,2,1,0,3365,1917.0,112.0,360.0,0.0,0,0,Middle,29.004310024546353,0,1
24,LP001052,1,1,1,0,0,3717,2925.0,151.0,360.0,1.0,1,0,Higher,30.483602149352365,1,0
25,LP001066,1,1,0,0,1,9560,0.0,191.0,360.0,1.0,1,1,Higher,48.88762624632127,1,0
26,LP001068,1,1,0,0,0,2799,2253.0,122.0,360.0,1.0,1,1,Middle,26.452788132822597,1,0
27,LP001073,1,1,2,1,0,4226,1040.0,110.0,360.0,1.0,2,1,Middle,32.50384592629001,0,1
28,LP001086,1,0,0,1,0,1442,0.0,35.0,360.0,1.0,2,0,Lower,18.986837546047525,0,1
29,LP001087,0,0,2,0,0,3750,2083.0,120.0,360.0,1.0,1,1,Middle,30.618621784789728,1,0
30,LP001091,1,1,1,0,0,4166,3369.0,201.0,360.0,1.0,2,0,Higher,32.27227912620985,1,0
31,LP001095,1,0,0,0,0,3167,0.0,74.0,360.0,1.0,2,0,Middle,28.138052526783014,1,0
32,LP001097,1,0,1,0,1,4692,0.0,106.0,360.0,1.0,0,0,Middle,34.249087579087416,1,0
33,LP001098,1,1,0,0,0,3500,1667.0,114.0,360.0,1.0,1,1,Middle,29.58039891549808,1,0
34,LP001100,1,0,3,0,0,12500,3000.0,320.0,360.0,1.0,0,0,Extreme,55.90169943749474,1,0
35,LP001106,1,1,0,0,0,2275,2067.0,120.0,360.0,1.0,2,1,Middle,23.84848003542364,1,0
36,LP001109,1,1,0,0,0,1828,1330.0,100.0,360.0,0.0,2,0,Middle,21.37755832643195,1,0
37,LP001112,0,1,0,0,0,3667,1459.0,144.0,360.0,1.0,1,1,Middle,30.277879714405366,1,0
38,LP001114,1,0,0,0,0,4166,7210.0,184.0,360.0,1.0,2,1,Higher,32.27227912620985,1,0
39,LP001116,1,0,0,1,0,3748,1668.0,110.0,360.0,1.0,1,1,Middle,30.610455730027933,0,1
40,LP001119,1,0,0,0,0,3600,0.0,80.0,360.0,1.0,2,0,Middle,30.0,1,0
41,LP001120,1,0,0,0,0,1800,1213.0,47.0,360.0,1.0,2,1,Lower,21.213203435596427,1,0
42,LP001123,1,1,0,0,0,2400,0.0,75.0,360.0,1.0,2,1,Middle,24.49489742783178,1,0
43,LP001131,1,1,0,0,0,3941,2336.0,134.0,360.0,1.0,1,1,Middle,31.388692231439016,1,0
44,LP001136,1,1,0,1,1,4695,0.0,96.0,360.0,1.0,2,1,Middle,34.2600350262518,0,1
45,LP001137,0,0,0,0,0,3410,0.0,88.0,360.0,1.0,2,1,Middle,29.197602641312866,1,0
46,LP001138,1,1,1,0,0,5649,0.0,44.0,360.0,1.0,2,1,Lower,37.579914848227105,1,0
47,LP001144,1,1,0,0,0,5821,0.0,144.0,360.0,1.0,2,1,Middle,38.14773912042495,1,0
48,LP001146,0,1,0,0,0,2645,3440.0,120.0,360.0,0.0,2,0,Middle,25.71478174124758,1,0
49,LP001151,0,0,0,0,0,4000,2275.0,144.0,360.0,1.0,1,1,Middle,31.622776601683793,1,0
50,LP001155,0,1,0,1,0,1928,1644.0,100.0,360.0,1.0,1,1,Middle,21.95449840010015,0,1
51,LP001157,0,0,0,0,0,3086,0.0,120.0,360.0,1.0,1,1,Middle,27.7758888246623,1,0
52,LP001164,0,0,0,0,0,4230,0.0,112.0,360.0,1.0,1,0,Middle,32.5192250830182,1,0
53,LP001179,1,1,2,0,0,4616,0.0,134.0,360.0,1.0,2,0,Middle,33.97057550292606,1,0
54,LP001186,0,1,1,0,1,11500,0.0,286.0,360.0,0.0,2,0,Higher,53.61902647381804,1,0
55,LP001194,1,1,2,0,0,2708,1167.0,97.0,360.0,1.0,1,1,Middle,26.019223662515376,1,0
56,LP001195,1,1,0,0,0,2132,1591.0,96.0,360.0,1.0,1,1,Middle,23.08679276123039,1,0
57,LP001197,1,1,0,0,0,3366,2200.0,135.0,360.0,1.0,0,0,Middle,29.008619408720573,1,0
58,LP001198,1,1,1,0,0,8080,2250.0,180.0,360.0,1.0,2,1,Higher,44.94441010848846,1,0
59,LP001199,1,1,2,1,0,3357,2859.0,144.0,360.0,1.0,2,1,Middle,28.96981187374195,0,1
